dimension,factor,group1,group2,p_adj,sig
PS,condition,A,B,1.0,ns
PS,condition,A,C,4.4e-05,***
PS,condition,A,D,0.001721,**
PS,condition,B,C,0.000286,***
PS,condition,B,D,0.007963,**
PS,condition,C,D,1.0,ns
PS,actor_model,claude,gpt4mini,1.8e-05,***
PS,actor_model,claude,gemini,0.0,***
PS,actor_model,gemini,gpt4mini,0.001758,**
CC,condition,A,B,0.464072,ns
CC,condition,A,C,0.001396,**
CC,condition,A,D,0.068741,ns
CC,condition,B,C,0.333418,ns
CC,condition,B,D,1.0,ns
CC,condition,C,D,1.0,ns
CC,actor_model,claude,gpt4mini,0.004543,**
CC,actor_model,claude,gemini,0.0,***
CC,actor_model,gemini,gpt4mini,0.0,***
ER,condition,A,B,1.0,ns
ER,condition,A,C,0.079442,ns
ER,condition,A,D,0.016773,*
ER,condition,B,C,0.013474,*
ER,condition,B,D,0.00216,**
ER,condition,C,D,1.0,ns
ER,actor_model,claude,gpt4mini,2.8e-05,***
ER,actor_model,claude,gemini,0.0,***
ER,actor_model,gemini,gpt4mini,2e-05,***
LF,condition,A,B,1.0,ns
LF,condition,A,C,0.001464,**
LF,condition,A,D,0.005902,**
LF,condition,B,C,0.094485,ns
LF,condition,B,D,0.247269,ns
LF,condition,C,D,1.0,ns
LF,actor_model,claude,gpt4mini,0.0,***
LF,actor_model,claude,gemini,0.0,***
LF,actor_model,gemini,gpt4mini,0.001965,**
RC,condition,A,B,1.0,ns
RC,condition,A,C,0.001372,**
RC,condition,A,D,0.004115,**
RC,condition,B,C,0.001424,**
RC,condition,B,D,0.004262,**
RC,condition,C,D,1.0,ns
RC,actor_model,claude,gpt4mini,2.7e-05,***
RC,actor_model,claude,gemini,0.0,***
RC,actor_model,gemini,gpt4mini,0.002071,**
total,condition,A,B,1.0,ns
total,condition,A,C,0.001776,**
total,condition,A,D,0.004582,**
total,condition,B,C,0.013486,*
total,condition,B,D,0.030444,*
total,condition,C,D,1.0,ns
total,actor_model,claude,gpt4mini,0.0,***
total,actor_model,claude,gemini,0.0,***
total,actor_model,gemini,gpt4mini,0.000169,***
